案件編號,案件申請日期,單位,案件狀態,最後一張路證施工截止日期
216356,2024/12/18,中華電信台南營運處第三客網中心(新營區),(變更案件)已核發(新系統),2025/3/31
187715,2022/11/29,臺南市政府水利局雨水下水道工程科,(展延案件)已核發(新系統),2025/3/31
195395,2023/6/6,臺南市政府水利局雨水下水道工程科,(展延案件)已核發(新系統),2025/3/31
215250,2024/11/15,中華電信公司台南營運處第二客網中心,(展延案件)已核發(新系統),2025/3/31
198064,2023/8/7,台灣電力公司台南區營業處,(展延案件)已核發(新系統),2025/3/31
210948,2024/7/12,臺南市政府工務局養護工程科一股,(展延案件)已核發(新系統),2025/3/31
215113,2024/11/12,台灣電力股份有限公司新營區營業處,(展延案件)已核發(新系統),2025/3/31
215549,2024/11/23,中華電信台南營運處第三客網中心(新營區),(展延案件)已核發(新系統),2025/3/31
217160,2025/1/15,中華電信公司台南營運處第三客網中心(佳里區),(一般案件)已核發(新系統),2025/3/31
217196,2025/1/16,中華電信公司台南營運處第三客網中心(佳里區),(一般案件)已核發(新系統),2025/3/31
190404,2023/2/16,臺南市政府水利局雨水下水道工程科,(展延案件)已核發(新系統),2025/3/31
212457,2024/8/27,中華電信公司台南營運處第二客網中心,(展延案件)已核發(新系統),2025/3/31
214880,2024/11/6,中華電信台南營運處第三客網中心(新營區),完工申請待簽核(新系統),2025/3/31
215203,2024/11/14,台灣電力股份有限公司新營區營業處,(展延案件)已核發(新系統),2025/3/31
214874,2024/11/6,中華電信台南營運處第三客網中心(新營區),完工申請待簽核(新系統),2025/3/29
214878,2024/11/6,中華電信台南營運處第三客網中心(新營區),完工申請待簽核(新系統),2025/3/29
205970,2024/3/5,台灣電力公司台南區營業處,(展延案件)已核發(新系統),2025/3/29
214875,2024/11/6,中華電信台南營運處第三客網中心(新營區),完工申請待簽核(新系統),2025/3/29
214877,2024/11/6,中華電信台南營運處第三客網中心(新營區),完工申請待簽核(新系統),2025/3/29
214911,2024/11/6,台灣電力公司台南區營業處,(展延案件)已核發(新系統),2025/3/28
214871,2024/11/6,中華電信台南營運處第三客網中心(新營區),(展延案件)已核發(新系統),2025/3/28
215207,2024/11/14,中華電信台南營運處第三客網中心(新營區),(展延案件)已核發(新系統),2025/3/28
215011,2024/11/8,中華電信公司台南營運處第二客網中心,完工申請待簽核(新系統),2025/3/27
214416,2024/10/24,台灣自來水股份有限公司第六區管理處永康服務所,(展延案件)已核發(新系統),2025/3/26
