PLINE_CMP_NO,PLINE_CMP_ABBR
0,工務局工程企劃科
1,臺南市永康區公所
10,臺南市下營區公所
100,臺南市政府水利局污水養護工程科
101,台灣中油股份有限公司油品行銷事業部嘉義營業處(民雄供油服務中心)
102,中華電信公司台南營運處第一客網中心四股
103,泉棸營造有限公司
104,陸軍第五地區支援指揮部
105,嘉南農田水利會麻豆區管理處
106,台灣中油股份有限公司油品行銷事業部台南營業處
107,台南市第118期新化新太自辦市地重劃區重劃會
108,臺南市政府水利局水利新建工程科
109,成大防災中心
11,臺南市六甲區公所
110,台南市政府地政局
111,國道高速公路局南區工程處
112,臺灣鐵路管理局-高雄電務段
113,臺南市政府環境保護局-土壤污染管理科
114,國道高速公路局拓建工程處臺南工務所
115,宏遠興業股份有限公司
116,臺南市市場處
118,麻豆區公所管線單位帳號
119,台灣中油天然氣事業部南區營業處工務組
12,臺南市左鎮區公所
120,台南市政府災害防救辦公室
121,臺南市政府工務局(民治市政中心)
122,統一實業股份有限公司
123,臺南市政府環境保護局一般廢棄物管理科
124,臺南市政府工務局第三工務大隊-(管)
125,交通部公路局雲嘉南區養護工程分局新化工務段
126,交通部公路總局西部濱海公路南區臨時工程處
127,臺南市公共運輸處
129,台塑石化股份有限公司
13,臺南市安定區公所
130,台灣中油股份有限公司探採事業部
131,台南市政府警察局
132,交通部高速鐵路工程局
133,臺南市政府工務局新建工程科二股
134,永康區公所管線單位帳號
135,經濟部工業局官田工業區服務中心
136,台南市第132期小北(二)自辦市地重劃會
137,台南市政府觀光旅遊局
138,經濟部中央地質調查所
139,南部地區巡防局第一一海岸巡防總隊
14,臺南市西港區公所
140,臺南市第126期仁和(三)自辦市地重劃區重劃會
141,交通部公路局雲嘉南區養護工程分局新營工務段
142,國防部參謀本部資通支援三隊網傳作業隊
143,經濟部水利署南區水資源分署
144,臺南市政府工務局第二工務大隊-(管)
145,新世紀資通股份有限公司-南區
146,台灣電力公司輸變電工程處南區施工處線路一組土木設計課
147,空軍防空暨飛彈指揮部
148,台灣電力公司輸變電工程處南區施工處第六工務段
149,陸軍第四地區支援指揮部
15,臺南市官田區公所
150,台南市第140期溪東(一)自辦市地重劃區重劃會
151,空軍第一通信航管資訊中隊
152,交通部高速公路局南區養護工程分局
153,台灣自來水股份有限公司第六區管理處麻豆服務所
154,臺南市政府水利局綜合企劃科
155,交通部臺灣鐵路管理局-高雄電務段台南電務分駐所
156,臺南市第137期福國(三)自辦市地重劃區重劃會
157,台南市政府交通局停車工程科
158,台南神學院
159,臺南市政風處
16,臺南市南化區公所
160,國防部電訊發展室
161,經濟發展局工業區科
162,研究發展考核委員會綜規研展科
163,台南市政府環境保護局
164,台南市工務局新建工程科(管)
165,台南市美術館
166,行政院環境保護署土壤及地下水污染整治基金管理會
167,歸仁區公所管線單位帳號
168,台南市第127期佃西(一)自辦市地重劃區重劃會
169,東山區公所管線單位帳號
17,臺南市麻豆區公所
170,台灣電力股份有限公司再生能源處
171,台南市第64期仁和(一)自辦市地重劃區重劃會
172,中央研究院
173,北門區公所管線單位帳號
174, 台灣糖業股份有限公司
175,臺南市立麻豆國民中學
176,仁德區公所管線帳號
177,學甲區公所管線帳號
178,台南市政府文化局
179,台南市第135期草湖(一)自辦市地重劃區重劃會
18,臺南市東山區公所
180,昊陽電業股份有限公司
181,台南市捷運工程處
182,臺南市政府工務局新建工程科三股 
183,臺南市政府工務局公園科二股
184,臺南市政府工務局建築工程科
185,工務局公園管理科二股
186,山上區公所管線帳號
187,台南市政府民族事務委員會
188,安定區公所管線帳號
189,天衝能源股份有限公司
19,臺南市新營區公所
190,禾迅一號股份有限公司
191,心忠電業股份有限公司
