"統計期","性別","失業人口/總計[千人]","失業人口/研究所[千人]","失業人口/大學[千人]","失業人口/專科[千人]","失業人口/高中[千人]","失業人口/高職[千人]","失業人口/國中[初職][千人]","失業人口/國小以下[千人]","失業率/全體[%]","失業率/研究所[%]","失業率/大學[%]","失業率/專科[%]","失業率/高中[%]","失業率/高職[%]","失業率/國中[初職][%]","失業率/國小以下[%]"
"67年平均","總計",18,0,2,2,3,4,3,3,2.4,0,2.5,3.5,3.3,4.7,3.1,0
"67年平均","男",11,0,1,1,2,2,2,3,2.1,0,1.8,3.9,3.0,3.4,2.7,0
"67年平均","女",7,0,1,1,1,3,1,1,3.3,0,4.7,2.8,4.2,6.2,4.3,0
"68年平均","總計",12,0,1,2,2,3,1,2,1.6,0,1.1,2.4,2.7,3.5,1.1,0
"68年平均","男",7,0,1,1,1,2,1,2,1.4,0,1.1,2.2,2.4,3.4,1.2,0
"68年平均","女",4,0,0,1,1,2,0,1,2.0,0,1.4,2.9,3.4,3.7,1.0,0
"69年平均","總計",13,0,2,2,2,4,2,2,1.7,0,1.3,2.1,2.3,3.3,1.7,0
"69年平均","男",7,0,1,1,1,1,1,1,1.3,0,1.0,1.4,1.6,2.6,1.5,0
"69年平均","女",6,0,1,1,1,2,1,0,2.5,0,2.3,3.3,4.1,4.0,2.0,0
"70年平均","總計",12,0,2,2,2,3,2,2,1.6,0,1.3,2.3,2.0,2.8,1.7,0
"70年平均","男",7,0,1,1,1,1,1,1,1.3,0,1.3,2.0,1.9,1.8,1.3,0
"70年平均","女",5,0,0,1,1,2,1,1,2.2,0,1.1,2.8,2.4,3.9,2.7,0
"71年平均","總計",23,0,3,4,4,6,4,3,2.8,0,2.4,4.4,3.8,4.2,2.8,0
"71年平均","男",14,0,2,2,2,2,2,2,2.5,0,1.9,4.4,3.2,3.6,2.6,0
"71年平均","女",9,0,1,1,1,3,1,1,3.5,0,3.7,4.3,5.2,4.8,3.4,0
"72年平均","總計",29,0,3,4,5,8,4,4,3.3,0,2.3,4.4,4.5,5.2,3.3,0
"72年平均","男",17,0,2,3,3,3,4,4,3.0,0,2.0,4.6,3.9,3.4,3.8,0
"72年平均","女",12,0,1,2,2,5,1,1,3.9,0,3.2,4.1,6.3,7.0,2.2,0
"73年平均","總計",29,0,4,4,5,7,5,4,3.2,0,2.4,3.9,4.5,4.6,3.7,0
"73年平均","男",18,0,2,2,3,3,3,4,3.0,0,2.0,3.7,3.9,4.2,3.6,0
"73年平均","女",11,0,2,2,2,4,1,1,3.5,0,3.5,4.1,6.0,4.9,4.0,0
"74年平均","總計",33,0,4,5,5,10,5,5,3.6,0,2.6,4.5,4.1,5.7,3.5,0
"74年平均","男",20,0,2,3,3,4,3,4,3.3,0,2.2,4.7,3.6,4.1,3.5,0
"74年平均","女",14,0,2,2,2,6,1,1,4.1,0,3.5,4.1,5.3,7.3,3.5,0
"75年平均","總計",34,0,5,5,5,10,5,5,3.4,0,2.8,3.5,4.5,5.2,3.8,0
"75年平均","男",21,0,3,3,3,4,4,4,3.4,0,2.5,3.9,4.0,4.2,4.0,0
"75年平均","女",13,0,2,1,2,6,1,1,3.6,0,3.4,2.8,5.5,6.2,3.0,0
"76年平均","總計",27,0,4,4,4,8,4,3,2.6,0,2.1,2.7,3.0,4.1,2.8,0
"76年平均","男",16,0,2,2,2,4,3,2,2.4,0,1.7,2.6,2.9,3.8,2.9,0
"76年平均","女",11,0,2,2,1,4,1,1,2.8,0,3.0,2.9,3.3,4.3,2.5,0
"77年平均","總計",22,0,3,4,3,6,3,2,2.0,0,1.6,2.5,2.3,3.0,2.0,0
"77年平均","男",12,0,2,2,2,3,2,1,1.8,0,1.2,2.6,2.0,2.7,1.9,0
"77年平均","女",10,0,2,2,1,4,1,1,2.4,0,2.6,2.3,3.0,3.3,2.3,0
"78年平均","總計",19,0,3,3,3,5,3,2,1.7,0,1.4,1.8,2.5,2.2,1.9,0
"78年平均","男",12,0,2,2,2,2,2,2,1.7,0,1.2,2.0,2.6,1.9,1.8,0
"78年平均","女",7,0,1,1,1,3,1,0,1.8,0,1.9,1.6,2.2,2.5,2.0,0
"79年平均","總計",20,0,3,5,3,5,3,1,1.8,0,1.3,2.5,2.4,2.5,2.0,0
"79年平均","男",12,0,2,3,2,3,2,1,1.8,0,1.3,2.6,2.4,2.3,2.3,0
"79年平均","女",8,0,1,2,1,3,1,0,1.8,0,1.2,2.4,2.3,2.7,1.3,0
"80年平均","總計",22,0,3,5,4,5,3,2,2.0,0,1.6,2.7,2.4,2.2,2.3,0
"80年平均","男",13,0,2,3,2,2,3,1,1.9,0,1.5,2.5,2.0,2.2,2.4,0
"80年平均","女",9,0,1,2,2,2,1,0,2.1,0,2.0,2.9,3.3,2.3,1.9,0
"81年平均","總計",21,0,5,3,3,5,3,1,1.8,0,2.0,1.6,2.2,2.3,2.2,0
"81年平均","男",12,0,2,2,2,2,2,1,1.7,0,1.6,1.7,2.1,2.0,2.3,0
"81年平均","女",9,0,2,1,1,3,1,0,2.0,0,3.0,1.5,2.4,2.5,2.0,0
"82年平均","總計",20,0,4,4,3,5,3,2,1.8,0,1.7,2.0,1.8,2.2,1.9,0
"82年平均","男",11,0,2,2,2,2,2,1,1.7,0,1.4,1.6,2.0,2.1,1.8,0
